City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
292,mount gambier,0,AU,1531509921,84,-37.83,140.78,34.74,5.41
293,kemi,0,FI,1531507800,56,65.74,24.56,71.6,4.7
294,alice springs,0,AU,1531508400,39,-23.7,133.88,28.4,5.82
295,jijiga,44,ET,1531510090,57,9.35,42.8,70.38,7.43
296,mandera,92,ET,1531510090,37,3.94,41.86,87.39,13.13
297,roura,24,GF,1531508400,66,4.73,-52.33,86.0,8.05
298,teguise,20,ES,1531508400,60,29.06,-13.56,73.4,18.34
299,cravo norte,48,CO,1531510090,100,6.3,-70.2,80.55,4.52
300,lavrentiya,36,RU,1531510091,96,65.58,-170.99,43.38,7.65
301,cockburn town,36,TC,1531510091,97,21.46,-71.14,82.8,15.03
302,hit,0,IQ,1531510091,15,33.64,42.83,90.36,6.98
303,meulaboh,76,ID,1531510091,100,4.14,96.13,78.66,4.41
304,semirom,0,IR,1531510091,28,31.41,51.57,58.41,3.96
305,les cayes,8,HT,1531510092,93,18.19,-73.75,83.7,17.49
306,flinders,0,AU,1531504800,75,-34.58,150.85,41.0,9.17
307,gornopravdinsk,0,RU,1531510092,49,60.06,69.92,68.31,8.55
308,yala,44,TH,1531510092,76,6.54,101.28,78.21,4.63
309,diamantino,0,BR,1531510092,43,-14.4,-56.44,89.19,4.18
310,ampanihy,0,MG,1531510092,48,-24.69,44.75,68.76,14.58
311,puerto escondido,0,MX,1531510093,100,15.86,-97.07,85.68,7.65
312,qasigiannguit,40,GL,1531507800,75,68.82,-51.19,42.8,5.82
313,iskateley,8,RU,1531510093,59,67.68,53.15,60.39,5.64
314,ketchikan,90,US,1531508160,59,55.34,-131.65,60.8,12.75
315,springbok,0,ZA,1531510093,69,-29.67,17.88,41.85,8.1
316,na klang,24,TH,1531510094,93,17.3,102.21,73.71,2.62
317,copiapo,0,CL,1531508400,55,-27.37,-70.33,62.6,6.93
318,bosaso,8,SO,1531510094,74,11.28,49.18,92.7,13.69
319,neryungri,92,RU,1531510094,98,56.66,124.71,55.26,3.18
320,high prairie,92,CA,1531510094,65,55.43,-116.48,63.45,5.41
321,eureka,90,US,1531508100,82,40.8,-124.16,62.6,6.93
322,choctaw,40,US,1531508100,52,35.5,-97.27,91.4,8.05
323,natal,0,BR,1531508400,58,-5.81,-35.21,82.4,17.22
324,ipixuna,40,BR,1531508400,70,-1.76,-48.8,86.0,6.93
325,buraydah,0,SA,1531508400,17,26.33,43.97,104.0,2.24
326,mattru,92,SL,1531510095,100,7.62,-11.83,74.88,5.08
327,sisimiut,8,GL,1531510096,57,66.94,-53.67,53.01,1.72
328,hueyotlipan,20,MX,1531507500,35,19.47,-98.35,73.4,8.05
329,baykit,80,RU,1531510096,93,61.68,96.39,56.34,5.64
330,cabo san lucas,40,MX,1531507800,52,22.89,-109.91,93.2,10.29
331,matara,75,PE,1531508400,61,-13.74,-72.9,46.4,2.39
332,siteki,0,SZ,1531508400,63,-26.45,31.95,60.8,3.36
333,anshun,24,CN,1531509842,90,26.25,105.93,69.3,8.55
334,charleston,40,US,1531508040,52,38.35,-81.63,89.6,5.82
335,rurrenabaque,0,BO,1531508400,66,-14.44,-67.53,86.0,2.73
336,namibe,12,AO,1531510097,98,-15.19,12.15,69.75,12.24
337,burnie,0,AU,1531510098,100,-41.05,145.91,49.5,11.45
338,hauterive,0,FR,1531508400,42,46.09,3.45,80.6,3.36
339,fort nelson,90,CA,1531508400,81,58.81,-122.69,50.0,8.05
340,banjar,12,ID,1531510098,93,-7.37,108.54,63.09,2.39
341,atyrau,0,KZ,1531508400,28,47.1,51.92,84.2,8.95
342,banepa,75,NP,1531507800,88,27.63,85.52,73.4,5.82
343,challans,0,FR,1531508400,44,46.85,-1.88,78.8,3.36
344,banjarmasin,0,ID,1531506600,94,-3.32,114.59,73.4,2.24
345,casper,1,US,1531507980,39,42.87,-106.31,84.2,3.36
346,arraial do cabo,0,BR,1531508400,69,-22.97,-42.02,75.2,11.41
347,alofi,75,NU,1531508400,83,-19.06,-169.92,73.4,9.17
348,aswan,0,EG,1531510100,23,24.09,32.9,89.37,8.43
349,santa fe,0,AR,1531509940,59,-31.62,-60.7,68.22,11.12
350,guiratinga,8,BR,1531510100,27,-16.35,-53.76,91.8,5.19
351,vengerovo,64,RU,1531510101,50,55.68,76.74,75.24,12.68
352,mananjary,0,MG,1531510101,58,-19.16,46.8,54.18,7.54
353,russell,0,AR,1531508400,37,-33.01,-68.8,68.0,6.93
354,ulcinj,0,ME,1531508400,65,41.93,19.22,78.8,9.17
355,ulaangom,92,MN,1531510101,56,49.98,92.07,58.14,1.16
356,scarborough,36,GB,1531507800,63,54.28,-0.41,71.6,6.93
357,palmer,0,AU,1531508400,70,-34.85,139.16,44.6,9.17
358,seryshevo,12,RU,1531510102,87,51.09,128.38,62.28,9.66
359,esperance,75,TT,1531508400,88,10.24,-61.45,80.6,5.82
360,torrington,1,US,1531507980,54,42.06,-104.18,80.6,5.82
361,mikun,68,RU,1531510103,53,62.35,50.08,73.44,7.54
362,luderitz,0,NA,1531510103,68,-26.65,15.16,57.33,23.31
363,nome,40,US,1531508100,59,30.04,-94.42,91.4,5.82
364,san quintin,90,PH,1531504800,100,17.54,120.52,77.0,2.17
365,pangoa,56,PE,1531510103,71,-12.12,-73.0,74.34,2.73
366,alihe,0,CN,1531510104,78,50.57,123.73,58.95,4.63
367,swellendam,12,ZA,1531508400,76,-34.02,20.44,51.8,6.93
368,aykhal,76,RU,1531510104,63,65.95,111.51,49.68,3.62
369,virginia beach,75,US,1531509300,57,36.85,-75.98,84.2,11.41
370,buala,92,SB,1531510104,95,-8.15,159.59,80.55,7.09
371,coquimbo,40,CL,1531508400,87,-29.95,-71.34,53.6,10.29
372,mobaye,12,CF,1531510105,90,4.33,21.18,72.45,2.95
373,sept-iles,20,CA,1531508400,59,50.2,-66.38,64.4,10.29
374,marsa matruh,20,EG,1531504800,83,31.35,27.25,78.8,14.99
375,katete,76,UG,1531510105,64,-0.78,29.75,69.75,0.6
376,margate,75,AU,1531508400,93,-43.03,147.26,44.6,6.93
377,rawson,80,AR,1531510106,46,-43.3,-65.11,56.7,4.52
378,segezha,76,RU,1531510106,49,63.74,34.31,70.2,3.62
379,great yarmouth,20,GB,1531507800,77,52.61,1.73,62.6,9.17
380,hong gai,76,VN,1531510106,90,20.96,107.09,81.45,5.64
381,guerrero negro,20,MX,1531510106,58,27.97,-114.04,79.65,8.99
